1,General Services,AC Air Filter Replacement,
2,General Services,AC Belt Replacement,
3,General Services,AC Low Pressure Hose Replacement,
4,General Services,AC Recharge,
5,General Services,AC Refrigerant Discharge Hose Replacement,
6,General Services,AC Refrigerant Liquid Hose Replacement,
7,General Services,AC Refrigerant Suction Hose Replacement,
8,General Services,AC Suction Line Hose Assembly Replacement,
9,General Services,Adjust Clutch,
10,General Services,Adjust Drive Belts,
11,General Services,Adjust Drum Brakes,
12,General Services,Adjust Ignition Timing,
13,General Services,Adjust Parking Brake Cable,
14,General Services,Adjust Throttle Valve Cable,
15,General Services,Air Filter Replacement,
16,General Services,Air Injection Hose Replacement,
17,General Services,Air Intake Hose Replacement,
18,General Services,Alternator Belt Replacement,
19,General Services,Amazon Local Brake Pads Package,
20,General Services,Bleed Brakes,
21,General Services,Brake and Inspection Special,
22,General Services,Brake Hose Replacement,
23,General Services,Brake System Flush,
24,General Services,Brake System Flush,
25,General Services,Breather Hose Replacement,
26,General Services,Bypass Hose Replacement,
27,General Services,Cabin Air Filter Replacement,
28,General Services,Change Oil and Filter,
29,General Services,Change Oil and Filter,
30,General Services,Clean and Repack Wheel Bearing,
31,General Services,Clean Evaporator Drain Tube,
32,General Services,Clean Throttle Body,
33,General Services,Clutch Fluid Replacement,
34,General Services,Cooling System Flush,
35,General Services,Cooling System Flush,
36,General Services,Drive Belt Tensioner Replacement,
37,General Services,Exhaust Gas Recirculation (EGR) Tube Replacement,
38,General Services,Fuel Filter Replacement,
39,General Services,Heater Bypass Tube Replacement,
40,General Services,Lubricate Ball Joints,
41,General Services,Lubricate Doors,
42,General Services,Lubricate Driveshaft,
43,General Services,Lubricate Hood Hinge,
44,General Services,Lubricate Steering and Suspension,
45,General Services,Lubricate Suspension,
46,General Services,Lubricate Trunk,
47,General Services,Lubricate U-Joints,
48,General Services,Power Steering Belt Replacement,
49,General Services,Power Steering Fluid Service,
50,General Services,Power Steering Fluid Service,
51,General Services,Power Steering Pressure Hose Replacement,
52,General Services,Power Steering Return Hose Replacement,
53,General Services,Pressure Test Radiator Cap,
54,General Services,Radiator Flush,
55,General Services,Radiator Flush,
56,General Services,Radiator Hose Replacement,
57,General Services,Recharge Diesel Emissions Fluid,
58,General Services,Recharge Diesel Emissions Fluid,
59,General Services,Reset Indicator Lights,
60,General Services,Rotate Tires,
61,General Services,Rotate Tires,
62,General Services,Serpentine/Drive Belt Replacement,
63,General Services,Service Battery/cables,
64,General Services,Spare Tire Installation,
65,General Services,Spare Tire Installation,
66,General Services,Supercharger Belt Replacement,
67,General Services,Tighten Wheel Lug Nuts,
68,General Services,Timing Belt Replacement,
69,General Services,Timing Cover Gasket,
70,General Services,Transfer Case Fluid Replacement,
71,General Services,Transmission Fluid Service,
72,General Services,Transmission Fluid Service,
73,General Services,Trunk Latch Adjustment,
74,General Services,Tune-up,
75,General Services,Valve Clearance Adjustment,
76,Brakes,ABS Speed Sensor Replacement,
77,Brakes,Anti-Lock Control Relay Replacement,
78,Brakes,Anti-Lock Fuses Or Relay Replacement,
79,Brakes,Brake Caliper Replacement,
80,Brakes,Brake Drum Replacement,
81,Brakes,Brake Hose Replacement,
82,Brakes,Brake Master Cylinder Replacement,
83,Brakes,Brake Pads Replacement,
84,Brakes,Brake Rotor/Disc Replacement,
85,Brakes,Brake Shoes (Rear) Replacement,
86,Brakes,Brake System Flush,
87,Brakes,Brake Vacuum Pump Replacement,
88,Brakes,Brake Wheel Cylinder Replacement,
89,Brakes,Emergency / Parking Brake Cable Replacement,
90,Brakes,Emergency / Parking Brake Shoe Replacement,
91,Brakes,Emergency Brake Control Replacement,
92,Brakes,Parking Brake Release Cable Replacement,
93,Brakes,Vacuum Brake Booster Check Valve Replacement,
94,Brakes,Vacuum Pump Replacement,
95,Brakes,Wheel Hub Assembly Replacement,
96,Brakes,Wheel Speed Sensor Replacement,
97,Engine,AC Belt Replacement,
98,Engine,Accelerator Cable Replacement,
99,Engine,Air Bleed Housing Assembly Replacement,
100,Engine,Air Pump Check Valve Replacement,
101,Engine,Air Pump Replacement,
102,Engine,Alternator Belt Replacement,
103,Engine,Alternator Replacement,
104,Engine,Automatic Shutdown Relay Replacement,
105,Engine,Barometric Sensor Replacement,
106,Engine,Battery Terminal Ends Replacement,
107,Engine,Boost Pressure Sensor Replacement,
108,Engine,Breather Hose Replacement,
109,Engine,Bypass Hose Replacement,
110,Engine,Camshaft Adjuster Magnet Replacement,
111,Engine,Camshaft Seal Replacement,
112,Engine,Carburetor Replacement,
113,Engine,Carburetor Replacement,
114,Engine,Coolant Recovery Reservoir Replacement,
115,Engine,Coolant Reservoir Replacement,
116,Engine,Coolant Temperature Switch (Sensor) Replacement,
117,Engine,Cooling System Flush,
118,Engine,Cooling/Radiator Fan Motor Replacement,
119,Engine,Crankshaft Harmonic Balancer Replacement,
120,Engine,Cruise Control Cable Replacement,
121,Engine,Distributor O Ring Replacement,
122,Engine,Distributor Replacement,
123,Engine,Distributor Rotor and Cap Replacement,
124,Engine,Eccentric Shaft Sensor Replacement,
125,Engine,EGR Pressure Sensor Replacement,
126,Engine,EGR Vacuum Solenoid Replacement,
127,Engine,Electronic Ignition Pickup Replacement,
128,Engine,Electronic Spark Control Replacement,
129,Engine,Engine Camshaft Synchronizer Replacement,
130,Engine,Engine Intake Manifold Runner Control Lever Replacement,
131,Engine,Engine Intake Manifold Runner Control Sensor Replacement,
132,Engine,Engine Intake Manifold Runner Vacuum Actuator Replacement,
133,Engine,Engine Intake Manifold Runner Vacuum Control Motor Replacement,
134,Engine,Engine Mount Replacement,
135,Engine,Engine Oil Temperature Sensor Replacement,
136,Engine,Engine Oil Temperature Switch Replacement,
137,Engine,Engine Variable Valve Timing (VVT) Adjuster Magnet Replacement,
138,Engine,Engine Variable Valve Timing (VVT) Eccentric Shaft Sensor Replacement,
139,Engine,Engine Variable Valve Timing (VVT) Oil Control Valve Replacement,
140,Engine,Exhaust Gas Recirculation (EGR) Tube Replacement,
141,Engine,Exhaust Gas Recirculation/EGR Valve Replacement,
142,Engine,Exhaust Manifold Gasket Replacement,
143,Engine,Exhaust Manifold Replacement,
144,Engine,Fan Clutch Replacement,
145,Engine,Front Crankshaft Seal Replacement,
146,Engine,Fuel Filler Cap Replacement,
147,Engine,Fuel Filler Neck Replacement,
148,Engine,Fuel Filter Replacement,
149,Engine,Fuel Gauge Sender Replacement,
150,Engine,Fuel Injector O Rings Replacement,
151,Engine,Fuel Injector Replacement,
152,Engine,Fuel Pressure Damper Replacement,
153,Engine,Fuel Pressure Damper Replacement,
154,Engine,Fuel Pressure Regulator Replacement,
155,Engine,Fuel Pressure Sensor Replacement,
156,Engine,Fuel Pump Replacement,
157,Engine,Fuel Tank Pressure Sensor Replacement,
158,Engine,Gas Cap Replacement,
159,Engine,Heater Bypass Tube Replacement,
160,Engine,Heater Hoses Replacement,
161,Engine,Idle Control Valve Replacement,
162,Engine,Idler Pulley Replacement,
163,Engine,Injector Control Pressure Sensor Replacement,
164,Engine,Intake Manifold Gaskets Replacement,
165,Engine,Intake Manifold Runner Control Replacement,
166,Engine,Leak Detection Pump Replacement,
167,Engine,Manifold Absolute Pressure Sensor (MAP Sensor) Replacement,
168,Engine,Oil Cooler Adapter Gasket Replacement,
169,Engine,Oil Cooler Hose (Automatic Transmission) Replacement,
170,Engine,Oil Cooler Lines Replacement,
171,Engine,Oil Cooler Replacement,
172,Engine,Oil Filter Housing Gasket Replacement,
173,Engine,Oil Filter Housing Replacement,
174,Engine,Oil Pan Gasket Replacement,
175,Engine,Oil Pan Replacement,
176,Engine,Oil Pressure Sensor Replacement,
177,Engine,Oil Pump O Ring Replacement,
178,Engine,Oil Separator Replacement,
179,Engine,Oxygen Sensor Replacement,
180,Engine,PCV Valve Grommet Replacement,
181,Engine,PCV Valve Hose Replacement,
182,Engine,Points & Condenser Replacement,
183,Engine,Positive Crankcase Ventilation (PCV) Valve Replacement,
184,Engine,Power Steering Belt Replacement,
185,Engine,Pressure Test Radiator Cap,
186,Engine,Radiator Flush,
187,Engine,Radiator Replacement,
188,Engine,Serpentine/Drive Belt Replacement,
189,Engine,Starter Replacement,
190,Engine,Supercharger Belt Replacement,
191,Engine,Thermostat Housing Replacement,
192,Engine,Thermostat Replacement,
193,Engine,Throttle Body Replacement,
194,Engine,Throttle Control Cable Replacement,
195,Engine,Throttle Controller Replacement,
196,Engine,Timing Cover Gasket,
197,Engine,Timing Cover Replacement,
198,Engine,Tune-up,
199,Engine,Valve Cover Gasket Replacement,
200,Engine,Valve Cover Replacement,
201,Engine,Variable Valve Timing (VVT) Solenoid Replacement,
202,Engine,Variable Valve Timing (VVT) Switch Replacement,
203,Engine,Vent Oil Separator Replacement,
204,Engine,Water Pump (Auxiliary) Replacement,
205,Engine,Water Pump Pulley Replacement,
206,Engine,Water Pump Replacement,
207,Engine,Windshield Washer Reservoir Replacement,
208,Clutch and Transmission,Automatic Transmission Shift Lever Assembly Replacement,
209,Clutch and Transmission,Axle / CV Shaft Assembly Replacement,
210,Clutch and Transmission,Axle Shaft Seal Replacement,
211,Clutch and Transmission,Center Support Bearing Replacement,
212,Clutch and Transmission,Clutch Cable Replacement,
213,Clutch and Transmission,Clutch Fluid Replacement,
214,Clutch and Transmission,Clutch Master Cylinder Replacement,
215,Clutch and Transmission,Clutch Safety Switch Replacement,
216,Clutch and Transmission,Clutch Slave Cylinder Replacement,
217,Clutch and Transmission,Clutch Switch Replacement,
218,Clutch and Transmission,Differential Gasket Replacement,
219,Clutch and Transmission,Differential Output Seal Replacement,
220,Clutch and Transmission,Flexible Clutch Hose Replacement,
221,Clutch and Transmission,Manual Transmission Shift Cable Replacement,
222,Clutch and Transmission,Manual Transmission Shift Lever Replacement,
223,Clutch and Transmission,Shift Interlock Cable Replacement,
224,Clutch and Transmission,Shift Interlock Solenoid Replacement,
225,Clutch and Transmission,Shift Selector Cable Replacement,
226,Clutch and Transmission,Shifter Interlock Solenoid Replacement,
227,Clutch and Transmission,Speed Sensor Replacement,
228,Clutch and Transmission,Speedometer Cable and Housing Replacement,
229,Clutch and Transmission,Speedometer Cable Replacement,
230,Clutch and Transmission,Transfer Case Fluid Replacement,
231,Clutch and Transmission,Transmission Fluid Service,
232,Clutch and Transmission,Transmission Oil Pressure Switch Replacement,
233,Clutch and Transmission,Transmission Position Sensor (Switch) Replacement,
234,Clutch and Transmission,Transmission Speed Sensor Replacement,
235,Heating & AC,AC Accumulator Replacement,
236,Heating & AC,AC Clutch Cycling Switch Replacement,
237,Heating & AC,AC Compressor Relay Replacement,
238,Heating & AC,AC Compressor Replacement,
239,Heating & AC,AC Condenser Fan Replacement,
240,Heating & AC,AC Condenser Replacement,
241,Heating & AC,AC Control Switch Replacement,
242,Heating & AC,AC High Pressure Hose Replacement,
243,Heating & AC,AC High Pressure Switch Replacement,
244,Heating & AC,AC is not working (Inspection),
245,Heating & AC,AC Low Pressure Hose Replacement,
246,Heating & AC,AC Low Pressure Switch Replacement,
247,Heating & AC,AC Pressure Switch Replacement,
248,Heating & AC,AC Receiver Dryer Replacement,
249,Heating & AC,AC Recharge,
250,Heating & AC,AC Refrigerant Discharge Hose Replacement,
251,Heating & AC,AC Refrigerant Liquid Hose Replacement,
252,Heating & AC,AC Refrigerant Suction Hose Replacement,
253,Heating & AC,AC Suction Line Hose Assembly Replacement,
254,Heating & AC,Ambient Temperature Sensor (Switch) Replacement,
255,Heating & AC,Auxiliary Fan Control Unit Replacement,
256,Heating & AC,Blower Motor Relay Replacement,
257,Heating & AC,Blower Motor Switch Replacement,
258,Heating & AC,Condenser Fan Relay Replacement,
259,Heating & AC,Expansion Valve (Orifice Tube) Replacement,
260,Heating & AC,Heater Blower Motor Replacement,
261,Heating & AC,Heater Blower Motor Resistor Replacement,
262,Heating & AC,Heater Control Valve Replacement,
263,Heating & AC,Radiator Hose Replacement,
264,Suspension & Steering,Air Shocks Replacement,
265,Suspension & Steering,Air Spring Bag Replacement,
266,Suspension & Steering,Air Springs Replacement,
267,Suspension & Steering,Air Suspension Air Compressor Replacement,
268,Suspension & Steering,Axle / CV Shaft Assembly Replacement,
269,Suspension & Steering,Ball Joint Front Replacement,
270,Suspension & Steering,Ball Joint Rear Replacement,
271,Suspension & Steering,Center (Drag) Link Replacement,
272,Suspension & Steering,Control Arm Assembly Replacement,
273,Suspension & Steering,Differential / Gear Oil Replacement,
274,Suspension & Steering,Differential Fluid Service Replacement,
275,Suspension & Steering,Drag Link Replacement,
276,Suspension & Steering,Idler Arm Replacement,
277,Suspension & Steering,Lateral Link Replacement,
